Replicate,Date,Hour,Day,Month,Year,Israel energy demand,Jordan energy demand,West Bank energy demand,Gaza energy demand,Israel wind,Israel solar,Jordan wind,Jordan solar,West Bank wind,West Bank solar,Gaza wind,Gaza solar
1,01/01/2018 00:00,0,1,1,2018,6360.576934,1964,495.1696476,128.7441084,0.93,0,0.19,0,0.9,0,0.9,0
1,01/01/2018 01:00,1,1,1,2018,5721.469053,1817,458.031924,119.0883002,1.06,0,0.07,0,1.1,0,1.1,0
1,01/01/2018 02:00,2,1,1,2018,5308.131923,1726,435.0419046,113.1108952,1.1,0,0.02,0,1.1,0,1.1,0
1,01/01/2018 03:00,3,1,1,2018,5111.899745,1669,420.8942004,109.4324921,0.97,0,0,0,1,0,1,0
1,01/01/2018 04:00,4,1,1,2018,5076.989437,1733,436.8103677,113.5706956,0.88,0,0,0,0.9,0,0.9,0
1,01/01/2018 05:00,5,1,1,2018,5312.7601,1894,477.4850173,124.1461045,1.2,0,0.05,0,1.2,0,1.2,0
1,01/01/2018 06:00,6,1,1,2018,5804.059968,2048,516.3912039,134.261713,1.16,0,0.02,0,1.2,0,1.2,0
1,01/01/2018 07:00,7,1,1,2018,6574.271122,2252,567.6766317,147.5959242,0.59,0.05,0.03,0,0.6,0,0.6,0
1,01/01/2018 08:00,8,1,1,2018,7032.884529,2448,617.1935964,160.4703351,0.57,0.25,0.18,0,0.6,0,0.6,0
1,01/01/2018 09:00,9,1,1,2018,7517.944864,2581,650.7943939,169.2065424,0.44,0.46,0.17,0.05,0.4,0,0.4,0
1,01/01/2018 10:00,10,1,1,2018,7984.915874,2680,675.5528763,175.6437478,0.77,0.6,0.15,0.16,0.8,0.1,0.8,0.1
1,01/01/2018 11:00,11,1,1,2018,8238.055371,2743,691.4690436,179.7819513,0.5,0.63,0.1,0.34,0.5,0.3,0.5,0.3
1,01/01/2018 12:00,12,1,1,2018,8502.156124,2718,685.279423,178.17265,0.1,0.65,0.04,0.42,0.1,0.4,0.1,0.4
1,01/01/2018 13:00,13,1,1,2018,8628.553287,2727,687.4369479,178.7336064,0.12,0.59,0.03,0.41,0.1,0.3,0.1,0.3
1,01/01/2018 14:00,14,1,1,2018,8695.901886,2775,699.6039735,181.8970331,0.09,0.45,0.02,0.47,0.1,0.4,0.1,0.4
1,01/01/2018 15:00,15,1,1,2018,8639.000014,2799,705.6874863,183.4787464,0.13,0.23,0,0.12,0.1,0.1,0.1,0.1
1,01/01/2018 16:00,16,1,1,2018,8508.524885,2876,725.0698411,188.5181587,0.13,0.06,0,0.17,0.1,0.1,0.1,0.1
1,01/01/2018 17:00,17,1,1,2018,9271.298111,3009,758.6706386,197.254366,0.12,0,0,0.07,0.1,0.1,0.1,0.1
1,01/01/2018 18:00,18,1,1,2018,9877.803038,2901,731.2594617,190.12746,0.18,0,0,0,0.2,0,0.2,0
1,01/01/2018 19:00,19,1,1,2018,9987.72656,2802,706.5009793,183.6902546,0.14,0,0,0,0.1,0,0.1,0
1,01/01/2018 20:00,20,1,1,2018,9798.202481,2753,694.1217381,180.4716519,0.1,0,0,0,0.1,0,0.1,0
1,01/01/2018 21:00,21,1,1,2018,9330.534281,2623,661.4051721,171.9653447,0.08,0,0,0,0.1,0,0.1,0
1,01/01/2018 22:00,22,1,1,2018,8592.870139,2431,612.7724389,159.3208341,0.11,0,0,0,0.1,0,0.1,0
1,01/01/2018 23:00,23,1,1,2018,7708.611973,2217,558.8343165,145.2969223,0.19,0,0.02,0,0.2,0,0.2,0
1,02/01/2018 00:00,0,2,1,2018,6682.020643,1926,485.6605093,126.2717324,0.44,0,0,0,0.4,0,0.4,0
1,02/01/2018 01:00,1,2,1,2018,5913.060904,1782,449.2359711,116.8013525,0.44,0,0,0,0.4,0,0.4,0
1,02/01/2018 02:00,2,2,1,2018,5479.179252,1692,426.6874474,110.9387363,0.55,0,0,0,0.5,0,0.5,0
1,02/01/2018 03:00,3,2,1,2018,5335.053313,1637,412.8114329,107.3309725,0.51,0,0.01,0,0.5,0,0.5,0
1,02/01/2018 04:00,4,2,1,2018,5291.059008,1699,428.4219492,111.3897068,0.44,0,0.01,0,0.4,0,0.4,0
1,02/01/2018 05:00,5,2,1,2018,5630.5224,1858,468.3154911,121.7620277,0.37,0,0.08,0,0.4,0,0.4,0
1,02/01/2018 06:00,6,2,1,2018,6198.116289,2009,506.4745311,131.6833781,0.48,0,0.08,0,0.5,0,0.5,0
1,02/01/2018 07:00,7,2,1,2018,7200.170717,2208,556.7750838,144.7615218,0.54,0.05,0.03,0,0.5,0,0.5,0
1,02/01/2018 08:00,8,2,1,2018,7661.687186,2401,605.3411348,157.388695,0.48,0.22,0,0,0.5,0,0.5,0
1,02/01/2018 09:00,9,2,1,2018,7967.947471,2532,638.2966693,165.957134,0.36,0.41,0,0.05,0.4,0,0.4,0
1,02/01/2018 10:00,10,2,1,2018,8060.259172,2628,662.5796948,172.2707206,0.31,0.55,0,0.2,0.3,0.2,0.3,0.2
