# Renewables.ninja Solar PV (Point API) - 31.422, 34.373 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Asia/Gaza, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC
# {"units": {"time": "UTC", "local_time": "Asia/Gaza", "electricity": "kW", "irradiance_direct": "kW/m\u00b2", "irradiance_diffuse": "kW/m\u00b2", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "31.4223", "lon": "34.3728", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2019-01-01 00:00,2019-01-01 02:00,0,0,0,10.765
2019-01-01 01:00,2019-01-01 03:00,0,0,0,10.497
2019-01-01 02:00,2019-01-01 04:00,0,0,0,10.291
2019-01-01 03:00,2019-01-01 05:00,0,0,0,10.056
2019-01-01 04:00,2019-01-01 06:00,0,0.003,0.003,9.945
2019-01-01 05:00,2019-01-01 07:00,0.205,0.185,0.051,10.842
2019-01-01 06:00,2019-01-01 08:00,0.451,0.445,0.073,12.394
2019-01-01 07:00,2019-01-01 09:00,0.613,0.649,0.083,14.516
2019-01-01 08:00,2019-01-01 10:00,0.707,0.783,0.088,16.441
2019-01-01 09:00,2019-01-01 11:00,0.751,0.858,0.088,17.888
2019-01-01 10:00,2019-01-01 12:00,0.730,0.829,0.088,18.470
2019-01-01 11:00,2019-01-01 13:00,0.652,0.718,0.085,18.514
2019-01-01 12:00,2019-01-01 14:00,0.514,0.536,0.078,18.237
2019-01-01 13:00,2019-01-01 15:00,0.299,0.284,0.065,17.396
2019-01-01 14:00,2019-01-01 16:00,0.043,0.045,0.018,15.076
2019-01-01 15:00,2019-01-01 17:00,0,0,0,14.073
2019-01-01 16:00,2019-01-01 18:00,0,0,0,14.108
2019-01-01 17:00,2019-01-01 19:00,0,0,0,14.410
2019-01-01 18:00,2019-01-01 20:00,0,0,0,14.606
2019-01-01 19:00,2019-01-01 21:00,0,0,0,14.477
2019-01-01 20:00,2019-01-01 22:00,0,0,0,14.132
2019-01-01 21:00,2019-01-01 23:00,0,0,0,13.580
2019-01-01 22:00,2019-01-02 00:00,0,0,0,12.729
2019-01-01 23:00,2019-01-02 01:00,0,0,0,11.781
2019-01-02 00:00,2019-01-02 02:00,0,0,0,11.256
2019-01-02 01:00,2019-01-02 03:00,0,0,0,10.869
2019-01-02 02:00,2019-01-02 04:00,0,0,0,10.612
2019-01-02 03:00,2019-01-02 05:00,0,0,0,10.469
2019-01-02 04:00,2019-01-02 06:00,0,0.002,0.003,10.373
2019-01-02 05:00,2019-01-02 07:00,0.188,0.163,0.055,11.768
2019-01-02 06:00,2019-01-02 08:00,0.439,0.427,0.079,13.694
2019-01-02 07:00,2019-01-02 09:00,0.607,0.640,0.088,15.561
2019-01-02 08:00,2019-01-02 10:00,0.701,0.774,0.094,17.544
2019-01-02 09:00,2019-01-02 11:00,0.722,0.801,0.103,18.209
2019-01-02 10:00,2019-01-02 12:00,0.680,0.732,0.112,18.526
2019-01-02 11:00,2019-01-02 13:00,0.594,0.608,0.113,18.614
2019-01-02 12:00,2019-01-02 14:00,0.386,0.332,0.122,18.374
2019-01-02 13:00,2019-01-02 15:00,0.209,0.160,0.087,17.677
2019-01-02 14:00,2019-01-02 16:00,0.015,0.012,0.016,16.076
