# Renewables.ninja Solar PV (Point API) - 30.699, 34.879 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Asia/Jerusalem, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC
# {"units": {"time": "UTC", "local_time": "Asia/Jerusalem", "electricity": "kW", "irradiance_direct": "kW/m\u00b2", "irradiance_diffuse": "kW/m\u00b2", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "30.69901714252333", "lon": "34.87852237928183", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2019-01-01 00:00,2019-01-01 02:00,0,0,0,6.216
2019-01-01 01:00,2019-01-01 03:00,0,0,0,5.939
2019-01-01 02:00,2019-01-01 04:00,0,0,0,5.758
2019-01-01 03:00,2019-01-01 05:00,0,0,0,5.495
2019-01-01 04:00,2019-01-01 06:00,0.002,0.006,0.004,5.295
2019-01-01 05:00,2019-01-01 07:00,0.241,0.218,0.051,7.350
2019-01-01 06:00,2019-01-01 08:00,0.482,0.479,0.071,10.414
2019-01-01 07:00,2019-01-01 09:00,0.622,0.654,0.086,13.578
2019-01-01 08:00,2019-01-01 10:00,0.648,0.676,0.112,16.495
2019-01-01 09:00,2019-01-01 11:00,0.747,0.847,0.093,17.966
2019-01-01 10:00,2019-01-01 12:00,0.738,0.843,0.087,18.562
2019-01-01 11:00,2019-01-01 13:00,0.659,0.729,0.084,18.607
2019-01-01 12:00,2019-01-01 14:00,0.510,0.528,0.080,18.122
2019-01-01 13:00,2019-01-01 15:00,0.299,0.282,0.066,16.508
2019-01-01 14:00,2019-01-01 16:00,0.039,0.039,0.018,12.507
2019-01-01 15:00,2019-01-01 17:00,0,0,0,10.558
2019-01-01 16:00,2019-01-01 18:00,0,0,0,9.768
2019-01-01 17:00,2019-01-01 19:00,0,0,0,9.425
2019-01-01 18:00,2019-01-01 20:00,0,0,0,9.387
2019-01-01 19:00,2019-01-01 21:00,0,0,0,9.361
2019-01-01 20:00,2019-01-01 22:00,0,0,0,9.059
2019-01-01 21:00,2019-01-01 23:00,0,0,0,8.494
2019-01-01 22:00,2019-01-02 00:00,0,0,0,7.814
2019-01-01 23:00,2019-01-02 01:00,0,0,0,7.105
2019-01-02 00:00,2019-01-02 02:00,0,0,0,6.457
2019-01-02 01:00,2019-01-02 03:00,0,0,0,5.871
2019-01-02 02:00,2019-01-02 04:00,0,0,0,5.370
2019-01-02 03:00,2019-01-02 05:00,0,0,0,4.965
2019-01-02 04:00,2019-01-02 06:00,0.002,0.005,0.004,4.729
2019-01-02 05:00,2019-01-02 07:00,0.229,0.203,0.054,6.871
2019-01-02 06:00,2019-01-02 08:00,0.481,0.477,0.072,10.541
2019-01-02 07:00,2019-01-02 09:00,0.645,0.691,0.079,13.462
2019-01-02 08:00,2019-01-02 10:00,0.736,0.828,0.084,15.901
2019-01-02 09:00,2019-01-02 11:00,0.761,0.866,0.089,16.806
2019-01-02 10:00,2019-01-02 12:00,0.738,0.834,0.089,17.334
2019-01-02 11:00,2019-01-02 13:00,0.656,0.717,0.087,17.544
2019-01-02 12:00,2019-01-02 14:00,0.507,0.518,0.083,17.355
2019-01-02 13:00,2019-01-02 15:00,0.259,0.227,0.075,16.135
2019-01-02 14:00,2019-01-02 16:00,0.026,0.025,0.018,12.998
2019-01-02 15:00,2019-01-02 17:00,0,0,0,11.584
2019-01-02 16:00,2019-01-02 18:00,0,0,0,10.532
2019-01-02 17:00,2019-01-02 19:00,0,0,0,9.451
2019-01-02 18:00,2019-01-02 20:00,0,0,0,8.667
2019-01-02 19:00,2019-01-02 21:00,0,0,0,8.087
2019-01-02 20:00,2019-01-02 22:00,0,0,0,7.602
2019-01-02 21:00,2019-01-02 23:00,0,0,0,6.975
2019-01-02 22:00,2019-01-03 00:00,0,0,0,6.515
2019-01-02 23:00,2019-01-03 01:00,0,0,0,6.264
2019-01-03 00:00,2019-01-03 02:00,0,0,0,6.012
2019-01-03 01:00,2019-01-03 03:00,0,0,0,5.742
2019-01-03 02:00,2019-01-03 04:00,0,0,0,5.577
2019-01-03 03:00,2019-01-03 05:00,0,0,0,5.355
2019-01-03 04:00,2019-01-03 06:00,0,0.002,0.004,5.307
2019-01-03 05:00,2019-01-03 07:00,0.105,0.061,0.065,6.818
2019-01-03 06:00,2019-01-03 08:00,0.267,0.169,0.131,9.023
2019-01-03 07:00,2019-01-03 09:00,0.401,0.287,0.169,11.333
2019-01-03 08:00,2019-01-03 10:00,0.565,0.500,0.163,12.927
2019-01-03 09:00,2019-01-03 11:00,0.715,0.753,0.121,14.302
2019-01-03 10:00,2019-01-03 12:00,0.727,0.791,0.104,15.314
2019-01-03 11:00,2019-01-03 13:00,0.644,0.680,0.099,15.796
2019-01-03 12:00,2019-01-03 14:00,0.506,0.506,0.089,15.723
2019-01-03 13:00,2019-01-03 15:00,0.291,0.263,0.072,14.842
2019-01-03 14:00,2019-01-03 16:00,0.041,0.040,0.019,11.875
2019-01-03 15:00,2019-01-03 17:00,0,0,0,10.623
2019-01-03 16:00,2019-01-03 18:00,0,0,0,10.284
2019-01-03 17:00,2019-01-03 19:00,0,0,0,9.850
2019-01-03 18:00,2019-01-03 20:00,0,0,0,9.177
2019-01-03 19:00,2019-01-03 21:00,0,0,0,8.297
2019-01-03 20:00,2019-01-03 22:00,0,0,0,7.468
2019-01-03 21:00,2019-01-03 23:00,0,0,0,6.977
2019-01-03 22:00,2019-01-04 00:00,0,0,0,6.758
2019-01-03 23:00,2019-01-04 01:00,0,0,0,6.683
2019-01-04 00:00,2019-01-04 02:00,0,0,0,6.817
2019-01-04 01:00,2019-01-04 03:00,0,0,0,6.951
2019-01-04 02:00,2019-01-04 04:00,0,0,0,7.013
2019-01-04 03:00,2019-01-04 05:00,0,0,0,6.869
2019-01-04 04:00,2019-01-04 06:00,0.002,0.006,0.004,6.547
2019-01-04 05:00,2019-01-04 07:00,0.245,0.223,0.051,7.931
2019-01-04 06:00,2019-01-04 08:00,0.496,0.501,0.067,10.901
2019-01-04 07:00,2019-01-04 09:00,0.658,0.716,0.073,13.693
2019-01-04 08:00,2019-01-04 10:00,0.749,0.855,0.077,15.934
2019-01-04 09:00,2019-01-04 11:00,0.783,0.912,0.079,17.166
2019-01-04 10:00,2019-01-04 12:00,0.761,0.884,0.078,17.987
