# Renewables.ninja Solar PV (Point API) - 30.346, 36.546 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Asia/Amman, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC
# {"units": {"time": "UTC", "local_time": "Asia/Amman", "electricity": "kW", "irradiance_direct": "kW/m\u00b2", "irradiance_diffuse": "kW/m\u00b2", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "30.34573354735086", "lon": "36.54559002003959", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2019-01-01 00:00,2019-01-01 02:00,0,0,0,2.283
2019-01-01 01:00,2019-01-01 03:00,0,0,0,1.831
2019-01-01 02:00,2019-01-01 04:00,0,0,0,1.593
2019-01-01 03:00,2019-01-01 05:00,0,0,0,1.781
2019-01-01 04:00,2019-01-01 06:00,0.006,0.007,0.008,1.863
2019-01-01 05:00,2019-01-01 07:00,0.170,0.117,0.075,4.009
2019-01-01 06:00,2019-01-01 08:00,0.324,0.226,0.132,6.121
2019-01-01 07:00,2019-01-01 09:00,0.484,0.388,0.160,8.974
2019-01-01 08:00,2019-01-01 10:00,0.541,0.446,0.183,12.232
2019-01-01 09:00,2019-01-01 11:00,0.559,0.469,0.189,14.203
2019-01-01 10:00,2019-01-01 12:00,0.614,0.581,0.153,15.137
2019-01-01 11:00,2019-01-01 13:00,0.612,0.622,0.113,15.607
2019-01-01 12:00,2019-01-01 14:00,0.448,0.415,0.106,15.356
2019-01-01 13:00,2019-01-01 15:00,0.166,0.111,0.085,13.794
2019-01-01 14:00,2019-01-01 16:00,0.008,0.007,0.012,10.463
2019-01-01 15:00,2019-01-01 17:00,0,0,0,9.239
2019-01-01 16:00,2019-01-01 18:00,0,0,0,8.487
2019-01-01 17:00,2019-01-01 19:00,0,0,0,7.810
2019-01-01 18:00,2019-01-01 20:00,0,0,0,7.150
2019-01-01 19:00,2019-01-01 21:00,0,0,0,6.364
2019-01-01 20:00,2019-01-01 22:00,0,0,0,5.383
2019-01-01 21:00,2019-01-01 23:00,0,0,0,4.765
2019-01-01 22:00,2019-01-02 00:00,0,0,0,4.269
2019-01-01 23:00,2019-01-02 01:00,0,0,0,3.757
2019-01-02 00:00,2019-01-02 02:00,0,0,0,3.304
2019-01-02 01:00,2019-01-02 03:00,0,0,0,2.971
2019-01-02 02:00,2019-01-02 04:00,0,0,0,2.786
2019-01-02 03:00,2019-01-02 05:00,0,0,0,2.988
2019-01-02 04:00,2019-01-02 06:00,0.006,0.008,0.008,3.454
2019-01-02 05:00,2019-01-02 07:00,0.168,0.120,0.072,5.567
2019-01-02 06:00,2019-01-02 08:00,0.358,0.282,0.117,7.928
2019-01-02 07:00,2019-01-02 09:00,0.575,0.554,0.115,11.228
2019-01-02 08:00,2019-01-02 10:00,0.706,0.751,0.104,13.247
2019-01-02 09:00,2019-01-02 11:00,0.770,0.861,0.092,14.368
2019-01-02 10:00,2019-01-02 12:00,0.761,0.860,0.084,15.075
2019-01-02 11:00,2019-01-02 13:00,0.686,0.760,0.076,15.329
2019-01-02 12:00,2019-01-02 14:00,0.542,0.572,0.068,15.047
2019-01-02 13:00,2019-01-02 15:00,0.311,0.301,0.056,13.902
2019-01-02 14:00,2019-01-02 16:00,0.030,0.032,0.013,9.845
2019-01-02 15:00,2019-01-02 17:00,0,0,0,7.917
2019-01-02 16:00,2019-01-02 18:00,0,0,0,7.120
2019-01-02 17:00,2019-01-02 19:00,0,0,0,6.467
2019-01-02 18:00,2019-01-02 20:00,0,0,0,6.191
2019-01-02 19:00,2019-01-02 21:00,0,0,0,5.626
2019-01-02 20:00,2019-01-02 22:00,0,0,0,4.866
2019-01-02 21:00,2019-01-02 23:00,0,0,0,4.189
2019-01-02 22:00,2019-01-03 00:00,0,0,0,3.791
2019-01-02 23:00,2019-01-03 01:00,0,0,0,3.499
2019-01-03 00:00,2019-01-03 02:00,0,0,0,3.156
2019-01-03 01:00,2019-01-03 03:00,0,0,0,2.764
2019-01-03 02:00,2019-01-03 04:00,0,0,0,2.350
2019-01-03 03:00,2019-01-03 05:00,0,0,0,1.916
2019-01-03 04:00,2019-01-03 06:00,0.009,0.011,0.008,1.675
2019-01-03 05:00,2019-01-03 07:00,0.263,0.231,0.059,3.890
2019-01-03 06:00,2019-01-03 08:00,0.515,0.506,0.072,6.590
2019-01-03 07:00,2019-01-03 09:00,0.686,0.730,0.075,8.815
2019-01-03 08:00,2019-01-03 10:00,0.779,0.868,0.078,10.618
2019-01-03 09:00,2019-01-03 11:00,0.810,0.923,0.078,12.126
2019-01-03 10:00,2019-01-03 12:00,0.782,0.891,0.076,13.222
2019-01-03 11:00,2019-01-03 13:00,0.697,0.773,0.071,13.763
2019-01-03 12:00,2019-01-03 14:00,0.548,0.577,0.065,13.640
2019-01-03 13:00,2019-01-03 15:00,0.317,0.307,0.054,12.483
2019-01-03 14:00,2019-01-03 16:00,0.035,0.038,0.013,8.360
2019-01-03 15:00,2019-01-03 17:00,0,0,0,6.671
2019-01-03 16:00,2019-01-03 18:00,0,0,0,5.878
2019-01-03 17:00,2019-01-03 19:00,0,0,0,5.408
2019-01-03 18:00,2019-01-03 20:00,0,0,0,5.326
2019-01-03 19:00,2019-01-03 21:00,0,0,0,5.415
2019-01-03 20:00,2019-01-03 22:00,0,0,0,5.446
2019-01-03 21:00,2019-01-03 23:00,0,0,0,5.261
2019-01-03 22:00,2019-01-04 00:00,0,0,0,4.548
2019-01-03 23:00,2019-01-04 01:00,0,0,0,3.748
2019-01-04 00:00,2019-01-04 02:00,0,0,0,2.908
2019-01-04 01:00,2019-01-04 03:00,0,0,0,2.112
2019-01-04 02:00,2019-01-04 04:00,0,0,0,1.446
2019-01-04 03:00,2019-01-04 05:00,0,0,0,0.832
2019-01-04 04:00,2019-01-04 06:00,0.015,0.020,0.008,0.447
2019-01-04 05:00,2019-01-04 07:00,0.328,0.313,0.046,3.862
2019-01-04 06:00,2019-01-04 08:00,0.571,0.595,0.055,7.117
2019-01-04 07:00,2019-01-04 09:00,0.724,0.807,0.060,10.534
