# Renewables.ninja Solar PV (Point API) - 32.054, 35.289 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Asia/Hebron, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC
# {"units": {"time": "UTC", "local_time": "Asia/Hebron", "electricity": "kW", "irradiance_direct": "kW/m\u00b2", "irradiance_diffuse": "kW/m\u00b2", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "32.054386437989436", "lon": "35.28859523051333", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2019-01-01 00:00,2019-01-01 02:00,0,0,0,7.600
2019-01-01 01:00,2019-01-01 03:00,0,0,0,7.089
2019-01-01 02:00,2019-01-01 04:00,0,0,0,6.677
2019-01-01 03:00,2019-01-01 05:00,0,0,0,6.367
2019-01-01 04:00,2019-01-01 06:00,0.001,0.004,0.004,6.114
2019-01-01 05:00,2019-01-01 07:00,0.229,0.208,0.050,7.427
2019-01-01 06:00,2019-01-01 08:00,0.477,0.472,0.069,9.619
2019-01-01 07:00,2019-01-01 09:00,0.636,0.678,0.077,12.859
2019-01-01 08:00,2019-01-01 10:00,0.723,0.808,0.083,15.553
2019-01-01 09:00,2019-01-01 11:00,0.751,0.858,0.086,17.478
2019-01-01 10:00,2019-01-01 12:00,0.726,0.825,0.085,18.313
2019-01-01 11:00,2019-01-01 13:00,0.645,0.711,0.082,18.426
2019-01-01 12:00,2019-01-01 14:00,0.501,0.520,0.076,17.875
2019-01-01 13:00,2019-01-01 15:00,0.278,0.262,0.062,16.180
2019-01-01 14:00,2019-01-01 16:00,0.027,0.029,0.014,12.663
2019-01-01 15:00,2019-01-01 17:00,0,0,0,11.316
2019-01-01 16:00,2019-01-01 18:00,0,0,0,10.929
2019-01-01 17:00,2019-01-01 19:00,0,0,0,10.950
2019-01-01 18:00,2019-01-01 20:00,0,0,0,11.148
2019-01-01 19:00,2019-01-01 21:00,0,0,0,11.235
2019-01-01 20:00,2019-01-01 22:00,0,0,0,11.044
2019-01-01 21:00,2019-01-01 23:00,0,0,0,10.695
2019-01-01 22:00,2019-01-02 00:00,0,0,0,10.260
2019-01-01 23:00,2019-01-02 01:00,0,0,0,9.754
2019-01-02 00:00,2019-01-02 02:00,0,0,0,9.386
2019-01-02 01:00,2019-01-02 03:00,0,0,0,9.060
2019-01-02 02:00,2019-01-02 04:00,0,0,0,8.559
2019-01-02 03:00,2019-01-02 05:00,0,0,0,7.973
2019-01-02 04:00,2019-01-02 06:00,0.001,0.003,0.004,7.562
2019-01-02 05:00,2019-01-02 07:00,0.187,0.157,0.057,9.106
2019-01-02 06:00,2019-01-02 08:00,0.427,0.401,0.086,11.736
2019-01-02 07:00,2019-01-02 09:00,0.591,0.604,0.096,14.214
2019-01-02 08:00,2019-01-02 10:00,0.669,0.706,0.108,15.834
2019-01-02 09:00,2019-01-02 11:00,0.677,0.709,0.120,16.462
2019-01-02 10:00,2019-01-02 12:00,0.678,0.720,0.112,16.838
2019-01-02 11:00,2019-01-02 13:00,0.601,0.620,0.105,16.929
2019-01-02 12:00,2019-01-02 14:00,0.442,0.417,0.101,16.564
2019-01-02 13:00,2019-01-02 15:00,0.180,0.131,0.081,15.284
2019-01-02 14:00,2019-01-02 16:00,0.012,0.011,0.013,12.580
2019-01-02 15:00,2019-01-02 17:00,0,0,0,11.728
2019-01-02 16:00,2019-01-02 18:00,0,0,0,11.424
2019-01-02 17:00,2019-01-02 19:00,0,0,0,11.231
2019-01-02 18:00,2019-01-02 20:00,0,0,0,10.949
2019-01-02 19:00,2019-01-02 21:00,0,0,0,10.586
2019-01-02 20:00,2019-01-02 22:00,0,0,0,10.118
2019-01-02 21:00,2019-01-02 23:00,0,0,0,9.862
2019-01-02 22:00,2019-01-03 00:00,0,0,0,9.742
