date,day,month,year,hour,israel_energy_demand,jordan_energy_demand,west_bank_energy_demand,gaza_energy_demand,israel_wind,israel_solar,jordan_wind,jordan_solar,west_bank_wind,west_bank_solar,gaza_wind,gaza_solar
2030-01-01 00:00:00,1,1,2030,0,9950.954767058962,3144.4272772669265,792.782559464405,206.12346549917007,0.93,0.0,0.19,0.0,0.9,0.0,0.9,0.0
2030-01-01 01:00:00,1,1,2030,1,8951.087352342789,2909.075541137477,733.3238674565437,190.6642054746601,1.06,0.0,0.07,0.0,1.1,0.0,1.1,0.0
2030-01-01 02:00:00,1,1,2030,2,8304.432319811118,2763.3816092478182,696.5161056916477,181.09418748623253,1.1,0.0,0.02,0.0,1.1,0.0,1.1,0.0
2030-01-01 03:00:00,1,1,2030,3,7997.43225560602,2672.1227727894607,673.8651754486823,175.20494561025328,0.97,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2030-01-01 04:00:00,1,1,2030,4,7942.81599997123,2774.5888347777923,699.3474720920957,181.83034274074282,0.88,0.0,0.0,0.0,0.9,0.0,0.9,0.0
2030-01-01 05:00:00,1,1,2030,5,8311.672980596897,3032.355021967189,764.4688965806467,198.76191311417026,1.2,0.0,0.05,0.0,1.2,0.0,1.2,0.0
2030-01-01 06:00:00,1,1,2030,6,9080.298659408634,3278.9139836266118,826.7589548288531,214.9573282330873,1.16,0.0,0.02,0.0,1.2,0.0,1.2,0.0
2030-01-01 07:00:00,1,1,2030,7,10285.273685112536,3605.5245562144187,908.8685770796797,236.30582997347338,0.59,0.05,0.03,0.0,0.6,0.0,0.6,0.0
2030-01-01 08:00:00,1,1,2030,8,11002.762258236962,3919.3268710536845,988.1468329300583,256.9181766194523,0.57,0.25,0.18,0.0,0.6,0.0,0.6,0.0
2030-01-01 09:00:00,1,1,2030,9,11761.626352322215,4132.264156123186,1041.9427922971267,270.9051259748384,0.44,0.46,0.17,0.05,0.4,0.0,0.4,0.0
2030-01-01 10:00:00,1,1,2030,10,12492.190174795405,4290.766345761386,1081.5819203023675,281.21129921777634,0.77,0.6,0.15,0.16,0.8,0.1,0.8,0.16010322185676817
2030-01-01 11:00:00,1,1,2030,11,12888.220237876325,4391.63137553115,1107.0642169457808,287.8366963482659,0.5,0.63,0.1,0.34,0.5,0.3,0.5,0.4803096655703044
2030-01-01 12:00:00,1,1,2030,12,13301.398896717967,4351.6055700669585,1097.1544349444705,285.260153117583,0.1,0.65,0.04,0.42,0.1,0.4,0.1,0.6404128874270727
2030-01-01 13:00:00,1,1,2030,13,13499.143922797954,4366.014860034067,1100.6087018217327,286.1582623871948,0.12,0.59,0.03,0.41,0.1,0.3,0.1,0.4803096655703044
2030-01-01 14:00:00,1,1,2030,14,13604.509028703891,4442.864406525317,1120.0885018114705,291.223010454972,0.09,0.45,0.02,0.47,0.1,0.4,0.1,0.6404128874270727
2030-01-01 15:00:00,1,1,2030,15,13515.487551515831,4481.289179770941,1129.8284018063393,293.755384408809,0.13,0.23,0.0,0.12,0.1,0.1,0.1,0.16010322185676817
2030-01-01 16:00:00,1,1,2030,16,13311.362655240318,4604.568660600652,1160.8601763128493,301.82364586375525,0.13,0.06,0.0,0.17,0.1,0.1,0.1,0.16010322185676817
2030-01-01 17:00:00,1,1,2030,17,14504.701238864098,4817.505945670154,1214.6561356799177,315.8105952191415,0.12,0.0,0.0,0.07,0.1,0.1,0.1,0.16010322185676817
2030-01-01 18:00:00,1,1,2030,18,15453.562192390833,4644.594466064844,1170.7699583141596,304.40018909443813,0.18,0.0,0.0,0.0,0.2,0.0,0.2,0.0
2030-01-01 19:00:00,1,1,2030,19,15625.53464184125,4486.092276426643,1131.1308303089188,294.0940158515003,0.14,0.0,0.0,0.0,0.1,0.0,0.1,0.0
2030-01-01 20:00:00,1,1,2030,20,15329.029221504878,4407.641697716827,1111.3112663062982,288.9409292300314,0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.0
2030-01-01 21:00:00,1,1,2030,21,14597.374663674498,4199.507509303028,1058.9309900594021,275.3220573417971,0.08,0.0,0.0,0.0,0.1,0.0,0.1,0.0
2030-01-01 22:00:00,1,1,2030,22,13443.318579377263,3892.109323338034,981.0684173291961,255.07778848317656,0.11,0.0,0.0,0.0,0.1,0.0,0.1,0.0
2030-01-01 23:00:00,1,1,2030,23,12059.920012930725,3549.48842856455,894.7117455577489,232.62505386102504,0.19,0.0,0.02,0.0,0.2,0.0,0.2,0.0
2030-01-02 00:00:00,2,1,2030,0,10453.844967367113,3083.5880529613546,777.5581226752892,202.1651118667566,0.44,0.0,0.0,0.0,0.4,0.0,0.4,0.0
2030-01-02 01:00:00,2,1,2030,1,9250.82774740773,2853.0394134876083,719.2412634706399,187.0027285247808,0.44,0.0,0.0,0.0,0.4,0.0,0.4,0.0
2030-01-02 02:00:00,2,1,2030,2,8572.031352346497,2708.946513816517,683.1403505458029,177.61649110348398,0.55,0.0,0.0,0.0,0.5,0.0,0.5,0.0
2030-01-02 03:00:00,2,1,2030,3,8346.550124050596,2620.889741795295,660.9244042659906,171.84034502270183,0.51,0.0,0.01,0.0,0.5,0.0,0.5,0.0
2030-01-02 04:00:00,2,1,2030,4,8277.722194822503,2720.153739346491,685.9173438107665,178.33850940360756,0.44,0.0,0.01,0.0,0.4,0.0,0.4,0.0
2030-01-02 05:00:00,2,1,2030,5,8808.803713671467,2974.7178620987524,749.7881897054463,194.9449293458305,0.37,0.0,0.08,0.0,0.4,0.0,0.4,0.0
2030-01-02 06:00:00,2,1,2030,6,9696.789375051736,3216.4737271024724,810.8820421750592,210.82933098792984,0.48,0.0,0.08,0.0,0.5,0.0,0.5,0.0
2030-01-02 07:00:00,2,1,2030,7,11264.47708492877,3535.0791385974408,891.4148476595207,231.76786041068777,0.54,0.05,0.03,0.0,0.5,0.0,0.5,0.0
2030-01-02 08:00:00,2,1,2030,8,11986.507421944701,3844.0783567810035,969.1706600391219,251.9843715333222,0.48,0.22,0.0,0.0,0.5,0.0,0.5,0.0
2030-01-02 09:00:00,2,1,2030,9,12465.643556072873,4053.81357741337,1021.9335325537406,265.702718435154,0.36,0.41,0.0,0.05,0.4,0.0,0.4,0.0
2030-01-02 10:00:00,2,1,2030,10,12610.062776318606,4207.512670395867,1060.8114387435412,275.8109739964712,0.31,0.55,0.0,0.2,0.3,0.2,0.3,0.32020644371353635
2030-01-02 11:00:00,2,1,2030,11,12788.122228068958,4306.776667947063,1085.8043782883174,282.30913837737694,0.28,0.46,0.0,0.26,0.3,0.2,0.3,0.32020644371353635
2030-01-02 12:00:00,2,1,2030,12,12670.25725179014,4268.351894701439,1076.0849018609445,279.782074406996,0.18,0.58,0.05,0.39,0.2,0.3,0.2,0.4803096655703044
2030-01-02 13:00:00,2,1,2030,13,12723.087451157957,4281.16015244998,1079.4728336506043,280.66293671713646,0.25,0.55,0.07,0.64,0.3,0.5,0.3,0.8005161092838408
2030-01-02 14:00:00,2,1,2030,14,12861.352736229235,4358.0096989412295,1098.5785474992738,285.63042239784215,0.37,0.38,0.08,0.77,0.4,0.6,0.4,0.9606193311406088
2030-01-02 15:00:00,2,1,2030,15,12841.870322878316,4394.833439968285,1108.1314045036602,288.1141651581434,0.26,0.09,0.11,0.64,0.3,0.5,0.3,0.8005161092838408
