date,day,month,year,hour,israel_energy_demand,jordan_energy_demand,west_bank_energy_demand,gaza_energy_demand,israel_wind,israel_solar,jordan_wind,jordan_solar,west_bank_wind,west_bank_solar,gaza_wind,gaza_solar
01/01/2030 00:00,1,1,2030,0,8859,2800,889,231,0.451,0,0.63,0,0.55,0,0.227,0
01/01/2030 01:00,1,1,2030,1,7969,2590,822,213,0.499,0,0.635,0,0.494,0,0.289,0
01/01/2030 02:00,1,1,2030,2,7393,2460,781,203,0.523,0,0.659,0,0.491,0,0.373,0
01/01/2030 03:00,1,1,2030,3,7120,2379,755,196,0.516,0,0.626,0,0.501,0,0.435,0
01/01/2030 04:00,1,1,2030,4,7071,2470,784,203,0.502,0.002,0.563,0.006,0.504,0.001,0.485,0
01/01/2030 05:00,1,1,2030,5,7400,2700,857,222,0.402,0.241,0.368,0.17,0.41,0.229,0.449,0.205
01/01/2030 06:00,1,1,2030,6,8084,2919,927,241,0.152,0.482,0.142,0.324,0.231,0.477,0.333,0.451
01/01/2030 07:00,1,1,2030,7,9157,3210,1019,265,0.093,0.622,0.133,0.484,0.267,0.636,0.252,0.613
01/01/2030 08:00,1,1,2030,8,9796,3490,1108,288,0.258,0.648,0.204,0.541,0.161,0.723,0.195,0.707
01/01/2030 09:00,1,1,2030,9,10471,3679,1168,303,0.334,0.747,0.251,0.559,0.098,0.751,0.146,0.751
01/01/2030 10:00,1,1,2030,10,11122,3821,1213,315,0.28,0.738,0.244,0.614,0.065,0.726,0.153,0.73
01/01/2030 11:00,1,1,2030,11,11474,3910,1241,322,0.249,0.659,0.254,0.612,0.069,0.645,0.168,0.652
01/01/2030 12:00,1,1,2030,12,11842,3875,1230,319,0.211,0.51,0.266,0.448,0.083,0.501,0.156,0.514
01/01/2030 13:00,1,1,2030,13,12018,3888,1234,320,0.21,0.299,0.211,0.166,0.103,0.278,0.148,0.299
01/01/2030 14:00,1,1,2030,14,12112,3956,1256,326,0.296,0.039,0.225,0.008,0.145,0.027,0.158,0.043
01/01/2030 15:00,1,1,2030,15,12033,3990,1267,329,0.294,0,0.258,0,0.129,0,0.121,0
01/01/2030 16:00,1,1,2030,16,11851,4100,1302,338,0.18,0,0.274,0,0.1,0,0.084,0
01/01/2030 17:00,1,1,2030,17,12913,4290,1362,354,0.058,0,0.251,0,0.052,0,0.042,0
01/01/2030 18:00,1,1,2030,18,13758,4136,1313,341,0.005,0,0.192,0,0.015,0,0.019,0
01/01/2030 19:00,1,1,2030,19,13911,3994,1268,329,0,0,0.138,0,0.002,0,0.014,0
01/01/2030 20:00,1,1,2030,20,13647,3925,1246,324,0,0,0.111,0,0.001,0,0.019,0
01/01/2030 21:00,1,1,2030,21,12996,3739,1187,308,0,0,0.09,0,0.001,0,0.032,0
01/01/2030 22:00,1,1,2030,22,11968,3466,1100,286,0.005,0,0.077,0,0.003,0,0.076,0
01/01/2030 23:00,1,1,2030,23,10737,3160,1003,260,0.021,0,0.083,0,0.008,0,0.146,0
02/01/2030 00:00,2,1,2030,0,9307,2746,872,226,0.044,0,0.087,0,0.013,0,0.233,0
02/01/2030 01:00,2,1,2030,1,8236,2540,806,209,0.069,0,0.082,0,0.017,0,0.305,0
02/01/2030 02:00,2,1,2030,2,7631,2412,766,199,0.101,0,0.067,0,0.026,0,0.376,0
02/01/2030 03:00,2,1,2030,3,7431,2333,741,192,0.133,0,0.051,0,0.048,0,0.412,0
02/01/2030 04:00,2,1,2030,4,7369,2422,769,200,0.147,0.002,0.03,0.006,0.079,0.001,0.409,0
02/01/2030 05:00,2,1,2030,5,7842,2649,841,218,0.139,0.229,0.009,0.168,0.101,0.187,0.376,0.188
02/01/2030 06:00,2,1,2030,6,8633,2864,909,236,0.087,0.481,0,0.358,0.061,0.427,0.269,0.439
02/01/2030 07:00,2,1,2030,7,10029,3148,999,259,0.053,0.645,0,0.575,0.087,0.591,0.202,0.607
02/01/2030 08:00,2,1,2030,8,10671,3423,1087,282,0.072,0.736,0.001,0.706,0.135,0.669,0.249,0.701
02/01/2030 09:00,2,1,2030,9,11098,3610,1146,298,0.107,0.761,0.016,0.77,0.167,0.677,0.278,0.722
02/01/2030 10:00,2,1,2030,10,11227,3746,1189,309,0.156,0.738,0.069,0.761,0.182,0.678,0.295,0.68
02/01/2030 11:00,2,1,2030,11,11385,3835,1217,316,0.217,0.656,0.15,0.686,0.205,0.601,0.328,0.594
02/01/2030 12:00,2,1,2030,12,11280,3801,1207,313,0.283,0.507,0.238,0.542,0.215,0.442,0.363,0.386
02/01/2030 13:00,2,1,2030,13,11327,3812,1210,314,0.314,0.259,0.297,0.311,0.18,0.18,0.416,0.209
02/01/2030 14:00,2,1,2030,14,11450,3880,1232,320,0.386,0.026,0.365,0.03,0.192,0.012,0.536,0.015
02/01/2030 15:00,2,1,2030,15,11433,3913,1242,323,0.538,0,0.47,0,0.208,0,0.623,0
02/01/2030 16:00,2,1,2030,16,11516,4022,1277,332,0.601,0,0.578,0,0.221,0,0.619,0
02/01/2030 17:00,2,1,2030,17,12440,4207,1336,347,0.586,0,0.692,0,0.244,0,0.61,0
02/01/2030 18:00,2,1,2030,18,13281,4056,1288,334,0.501,0,0.756,0,0.252,0,0.679,0
02/01/2030 19:00,2,1,2030,19,13410,3919,1244,323,0.497,0,0.77,0,0.27,0,0.75,0
02/01/2030 20:00,2,1,2030,20,13289,3849,1222,317,0.538,0,0.743,0,0.341,0,0.802,0
02/01/2030 21:00,2,1,2030,21,12704,3668,1164,302,0.498,0,0.713,0,0.443,0,0.774,0
02/01/2030 22:00,2,1,2030,22,11766,3399,1079,280,0.486,0,0.722,0,0.523,0,0.733,0
02/01/2030 23:00,2,1,2030,23,10672,3099,984,255,0.494,0,0.736,0,0.562,0,0.739,0
03/01/2030 00:00,3,1,2030,0,9275,2703,858,223,0.488,0,0.737,0,0.525,0,0.738,0
03/01/2030 01:00,3,1,2030,1,8208,2500,794,206,0.479,0,0.724,0,0.51,0,0.737,0
03/01/2030 02:00,3,1,2030,2,7602,2375,754,196,0.465,0,0.7,0,0.442,0,0.714,0
03/01/2030 03:00,3,1,2030,3,7360,2298,729,189,0.471,0,0.659,0,0.415,0,0.672,0
03/01/2030 04:00,3,1,2030,4,7339,2385,757,196,0.497,0,0.624,0.009,0.394,0,0.637,0
03/01/2030 05:00,3,1,2030,5,7845,2606,827,215,0.455,0.105,0.46,0.263,0.355,0.081,0.593,0.104
03/01/2030 06:00,3,1,2030,6,8654,2818,895,232,0.412,0.267,0.527,0.515,0.316,0.276,0.599,0.268
03/01/2030 07:00,3,1,2030,7,9907,3099,984,255,0.498,0.401,0.488,0.686,0.447,0.478,0.599,0.364
03/01/2030 08:00,3,1,2030,8,10475,3369,1070,278,0.476,0.565,0.391,0.779,0.457,0.617,0.593,0.46
03/01/2030 09:00,3,1,2030,9,10488,3552,1128,293,0.433,0.715,0.333,0.81,0.454,0.685,0.574,0.523
03/01/2030 10:00,3,1,2030,10,10345,3688,1171,304,0.382,0.727,0.296,0.782,0.443,0.65,0.539,0.61
03/01/2030 11:00,3,1,2030,11,10147,3775,1198,311,0.311,0.644,0.261,0.697,0.406,0.552,0.465,0.551
03/01/2030 12:00,3,1,2030,12,10032,3741,1188,308,0.228,0.506,0.219,0.548,0.343,0.405,0.374,0.467
03/01/2030 13:00,3,1,2030,13,10011,3752,1191,309,0.144,0.291,0.165,0.317,0.241,0.214,0.287,0.259
03/01/2030 14:00,3,1,2030,14,10057,3819,1212,315,0.088,0.041,0.138,0.035,0.183,0.017,0.253,0.035
03/01/2030 15:00,3,1,2030,15,10141,3852,1223,318,0.054,0,0.121,0,0.152,0,0.227,0
