date,day,month,year,hour,israel_energy_demand,jordan_energy_demand,west_bank_energy_demand,gaza_energy_demand,israel_wind,israel_solar,jordan_wind,jordan_solar,west_bank_wind,west_bank_solar,gaza_wind,gaza_solar
2030-01-01 00:00:00,1,1,2030,0,9068.661810273192,3144.4272772669265,941.4202407377696,244.76926263744903,0.451,0.0,0.63,0.0,0.55,0.0,0.227,0.0
2030-01-01 01:00:00,1,1,2030,1,8157.44679106825,2909.075541137477,870.8137226254006,226.41156780655587,0.499,0.0,0.635,0.0,0.494,0.0,0.289,0.0
2030-01-01 02:00:00,1,1,2030,2,7568.126878032995,2763.3816092478182,827.1049256443758,215.04728067514256,0.523,0.0,0.659,0.0,0.491,0.0,0.373,0.0
2030-01-01 03:00:00,1,1,2030,3,7288.346713899958,2672.1227727894607,800.2072045130317,208.05387316578341,0.516,0.0,0.626,0.0,0.501,0.0,0.435,0.0
2030-01-01 04:00:00,1,1,2030,4,7238.572962205805,2774.5888347777923,830.4671409283843,215.9214566375775,0.502,0.002,0.563,0.006,0.504,0.001,0.485,0.0
2030-01-01 05:00:00,1,1,2030,5,7574.725551776997,3032.355021967189,907.798089228529,236.02750320321996,0.402,0.241,0.368,0.17,0.41,0.229,0.449,0.205
2030-01-01 06:00:00,1,1,2030,6,8275.201687284087,3278.9139836266118,981.7668224347859,255.25937380642736,0.152,0.482,0.142,0.324,0.231,0.477,0.333,0.451
2030-01-01 07:00:00,1,1,2030,7,9373.338625269946,3605.5245562144187,1079.2710616784989,280.610475956559,0.093,0.622,0.133,0.484,0.267,0.636,0.252,0.613
2030-01-01 08:00:00,1,1,2030,8,10027.211683153813,3919.3268710536845,1173.4130856382035,305.08740233437635,0.258,0.648,0.204,0.541,0.161,0.723,0.195,0.707
2030-01-01 09:00:00,1,1,2030,9,10718.79173655732,4132.264156123186,1237.295173372676,321.6967450502788,0.334,0.747,0.251,0.559,0.098,0.751,0.146,0.751
2030-01-01 10:00:00,1,1,2030,10,11384.580737906375,4290.766345761386,1284.3661854475886,333.93520814412716,0.28,0.738,0.244,0.614,0.065,0.726,0.153,0.73
2030-01-01 11:00:00,1,1,2030,11,11745.497131644892,4391.63137553115,1314.626121862941,341.80279161592125,0.249,0.659,0.254,0.612,0.069,0.645,0.168,0.652
2030-01-01 12:00:00,1,1,2030,12,12122.041655458914,4351.6055700669585,1302.858368844213,338.74317593751954,0.211,0.51,0.266,0.448,0.083,0.501,0.156,0.514
2030-01-01 13:00:00,1,1,2030,13,12302.253786672636,4366.014860034067,1306.9602713348045,339.809670444384,0.21,0.299,0.211,0.166,0.103,0.278,0.148,0.299
2030-01-01 14:00:00,1,1,2030,14,12398.276784910722,4442.864406525317,1330.092311484946,345.82400096707386,0.296,0.039,0.225,0.008,0.145,0.027,0.158,0.043
2030-01-01 15:00:00,1,1,2030,15,12317.148321424795,4481.289179770941,1341.658331560017,348.83116613335847,0.294,0.0,0.258,0.0,0.129,0.0,0.121,0.0
2030-01-01 16:00:00,1,1,2030,16,12131.121985790387,4604.568660600652,1378.5082095974137,358.4121345219445,0.18,0.0,0.274,0.0,0.1,0.0,0.084,0.0
2030-01-01 17:00:00,1,1,2030,17,13218.654216954666,4817.505945670154,1442.3902973318864,375.02147723784697,0.058,0.0,0.251,0.0,0.052,0.0,0.042,0.0
2030-01-01 18:00:00,1,1,2030,18,14083.385219550764,4644.594466064844,1390.275962616142,361.4717502003462,0.005,0.0,0.192,0.0,0.015,0.0,0.019,0.0
2030-01-01 19:00:00,1,1,2030,19,14240.109877762738,4486.092276426643,1343.2049505412294,349.23328710649787,0.0,0.0,0.138,0.0,0.002,0.0,0.014,0.0
2030-01-01 20:00:00,1,1,2030,20,13969.893858808995,4407.641697716827,1319.669444503773,343.1140555595738,0.0,0.0,0.111,0.0,0.001,0.0,0.019,0.0
2030-01-01 21:00:00,1,1,2030,21,13303.110831227239,4199.507509303028,1257.4684643162443,326.941800634768,0.0,0.0,0.09,0.0,0.001,0.0,0.032,0.0
2030-01-01 22:00:00,1,1,2030,22,12251.378149934693,3892.109323338034,1165.0075479034838,302.9019624282889,0.005,0.0,0.077,0.0,0.003,0.0,0.076,0.0
2030-01-01 23:00:00,1,1,2030,23,10990.637442977555,3549.48842856455,1062.4599858288182,276.2395963345048,0.021,0.0,0.083,0.0,0.008,0.0,0.146,0.0
2030-01-02 00:00:00,2,1,2030,0,9526.963677888158,3083.5880529613546,923.3413958186919,240.06876287863815,0.044,0.0,0.087,0.0,0.013,0.0,0.233,0.0
2030-01-02 01:00:00,2,1,2030,1,8430.61095846251,2853.0394134876083,854.0907911275369,222.06360571977652,0.069,0.0,0.082,0.0,0.017,0.0,0.305,0.0
2030-01-02 02:00:00,2,1,2030,2,7811.999469520705,2708.946513816517,811.2213690762826,210.9175559142045,0.101,0.0,0.067,0.0,0.026,0.0,0.376,0.0
2030-01-02 03:00:00,2,1,2030,3,7606.510342914527,2620.889741795295,784.840186436382,204.05844837079414,0.133,0.0,0.051,0.0,0.048,0.0,0.412,0.0
2030-01-02 04:00:00,2,1,2030,4,7543.784983601546,2720.153739346491,814.5190168825051,211.77494440466097,0.147,0.002,0.03,0.006,0.079,0.001,0.409,0.0
2030-01-02 05:00:00,2,1,2030,5,8027.778610431277,2974.7178620987524,890.3649173762257,231.49487854443558,0.139,0.229,0.009,0.168,0.101,0.187,0.376,0.188
2030-01-02 06:00:00,2,1,2030,6,8837.03177698039,3216.4737271024724,962.913169873603,250.3574241937537,0.087,0.481,0.0,0.358,0.061,0.427,0.269,0.439
2030-01-02 07:00:00,2,1,2030,7,10265.721786913811,3535.0791385974408,1058.5449572046584,275.2216888960257,0.053,0.645,0.0,0.575,0.087,0.591,0.202,0.607
2030-01-02 08:00:00,2,1,2030,8,10923.733917049369,3844.0783567810035,1150.879096919612,299.22856510784123,0.072,0.736,0.001,0.706,0.135,0.669,0.249,0.701
2030-01-02 09:00:00,2,1,2030,9,11360.387852596732,4053.81357741337,1213.5344058082014,315.51894547591064,0.107,0.761,0.016,0.77,0.167,0.677,0.278,0.722
2030-01-02 10:00:00,2,1,2030,10,11492.002265280771,4207.512670395867,1259.7014756656781,327.5223835818184,0.156,0.738,0.069,0.761,0.182,0.678,0.295,0.68
2030-01-02 11:00:00,2,1,2030,11,11654.274226901178,4306.776667947063,1289.3803061118015,335.2388796156852,0.217,0.656,0.15,0.686,0.205,0.601,0.328,0.594
2030-01-02 12:00:00,2,1,2030,12,11546.859648685346,4268.351894701439,1277.8385387900225,332.2380199941479,0.283,0.507,0.238,0.542,0.215,0.442,0.363,0.386
2030-01-02 13:00:00,2,1,2030,13,11595.005703275205,4281.16015244998,1281.861669121219,333.28403393349276,0.314,0.259,0.297,0.311,0.18,0.18,0.416,0.209
2030-01-02 14:00:00,2,1,2030,14,11721.01181422279,4358.0096989412295,1304.5494862485696,339.1828664816643,0.386,0.026,0.365,0.03,0.192,0.012,0.536,0.015
2030-01-02 15:00:00,2,1,2030,15,11703.25679251248,4394.833439968285,1315.8933949073053,342.13228266068967,0.538,0.0,0.47,0.0,0.208,0.0,0.623,0.0
2030-01-02 16:00:00,2,1,2030,16,11787.807777898153,4516.51188857943,1352.0356151905112,351.5292599837547,0.601,0.0,0.578,0.0,0.221,0.0,0.619,0.0
