date,day,month,year,hour,israel_energy_demand,jordan_energy_demand,west_bank_energy_demand,gaza_energy_demand,israel_wind,israel_solar,jordan_wind,jordan_solar,west_bank_wind,west_bank_solar,gaza_wind,gaza_solar
01/01/2030 00:00,1,1,2030,0,8859.595337,2800.194382,705.9935159,183.5583142,0.451,0.0,0.63,0.0,0.55,0.0,0.227,0.0
01/01/2030 01:00,1,1,2030,1,7969.387222,2590.607531,653.0440022,169.7914405,0.499,0.0,0.635,0.0,0.494,0.0,0.289,0.0
01/01/2030 02:00,1,1,2030,2,7393.653331,2460.863291,620.2657317,161.2690903,0.523,0.0,0.659,0.0,0.491,0.0,0.373,0.0
01/01/2030 03:00,1,1,2030,3,7120.323143,2379.59492,600.0944884,156.024567,0.516,0.0,0.626,0.0,0.501,0.0,0.435,0.0
01/01/2030 04:00,1,1,2030,4,7071.696861,2470.843617,622.7871372,161.9246557,0.502,0.002,0.563,0.006,0.504,0.001,0.485,0.0
01/01/2030 05:00,1,1,2030,5,7400.09988,2700.39112,680.7794617,177.0026601,0.402,0.241,0.368,0.17,0.41,0.229,0.449,0.205
01/01/2030 06:00,1,1,2030,6,8084.427429,2919.958296,736.2503808,191.425099,0.152,0.482,0.142,0.324,0.231,0.477,0.333,0.451
01/01/2030 07:00,1,1,2030,7,9157.248215,3210.813517,809.3711379,210.4364958,0.093,0.622,0.133,0.484,0.267,0.636,0.252,0.613
01/01/2030 08:00,1,1,2030,8,9796.04706,3490.262651,879.9704894,228.7923273,0.258,0.648,0.204,0.541,0.161,0.723,0.195,0.707
01/01/2030 09:00,1,1,2030,9,10471.68361,3679.888849,927.8771922,241.24807,0.334,0.747,0.251,0.559,0.098,0.751,0.146,0.751
01/01/2030 10:00,1,1,2030,10,11122.1237,3821.039177,963.176868,250.4259856,0.28,0.738,0.244,0.614,0.065,0.726,0.153,0.73
01/01/2030 11:00,1,1,2030,11,11474.71962,3910.862113,985.8695168,256.3260743,0.249,0.659,0.254,0.612,0.069,0.645,0.168,0.652
01/01/2030 12:00,1,1,2030,12,11842.58339,3875.21809,977.0445979,254.0315955,0.211,0.51,0.266,0.448,0.083,0.501,0.156,0.514
01/01/2030 13:00,1,1,2030,13,12018.64096,3888.049938,980.1207125,254.8313852,0.21,0.299,0.211,0.166,0.103,0.278,0.148,0.299
01/01/2030 14:00,1,1,2030,14,12112.45027,3956.486461,997.4679817,259.3416752,0.296,0.039,0.225,0.008,0.145,0.027,0.158,0.043
01/01/2030 15:00,1,1,2030,15,12033.19212,3990.704722,1006.141616,261.5968202,0.294,0.0,0.258,0.0,0.129,0.0,0.121,0.0
01/01/2030 16:00,1,1,2030,16,11851.45438,4100.488311,1033.77622,268.7818171,0.18,0.0,0.274,0.0,0.1,0.0,0.084,0.0
01/01/2030 17:00,1,1,2030,17,12913.91494,4290.114509,1081.682923,281.2375598,0.058,0.0,0.251,0.0,0.052,0.0,0.042,0.0
01/01/2030 18:00,1,1,2030,18,13758.71067,4136.132333,1042.601139,271.076296,0.005,0.0,0.192,0.0,0.015,0.0,0.019,0.0
01/01/2030 19:00,1,1,2030,19,13911.82224,3994.982005,1007.301463,261.8983803,0.0,0.0,0.138,0.0,0.002,0.0,0.014,0.0
01/01/2030 20:00,1,1,2030,20,13647.83571,3925.119721,989.6516249,257.3094225,0.0,0.0,0.111,0.0,0.001,0.0,0.019,0.0
01/01/2030 21:00,1,1,2030,21,12996.42452,3739.770806,943.0056247,245.1814624,0.0,0.0,0.09,0.0,0.001,0.0,0.032,0.0
01/01/2030 22:00,1,1,2030,22,11968.9382,3466.024716,873.6669759,227.1534137,0.005,0.0,0.077,0.0,0.003,0.0,0.076,0.0
01/01/2030 23:00,1,1,2030,23,10737.26226,3160.911886,796.7641107,207.1586688,0.021,0.0,0.083,0.0,0.008,0.0,0.146,0.0
02/01/2030 00:00,2,1,2030,0,9307.331637,2746.015468,692.4357584,180.0332972,0.044,0.0,0.087,0.0,0.013,0.0,0.233,0.0
02/01/2030 01:00,2,1,2030,1,8236.253937,2540.7059,640.5030766,166.5307999,0.069,0.0,0.082,0.0,0.017,0.0,0.305,0.0
02/01/2030 02:00,2,1,2030,2,7631.903749,2412.387421,608.3542734,158.1721111,0.101,0.0,0.067,0.0,0.026,0.0,0.376,0.0
02/01/2030 03:00,2,1,2030,3,7431.151913,2333.970572,588.5703947,153.0283025,0.133,0.0,0.051,0.0,0.048,0.0,0.412,0.0
02/01/2030 04:00,2,1,2030,4,7369.872608,2422.367747,610.8272582,158.8150872,0.147,0.002,0.03,0.006,0.079,0.001,0.409,0.0
02/01/2030 05:00,2,1,2030,5,7842.708376,2649.063728,667.7059099,173.6035366,0.139,0.229,0.009,0.168,0.101,0.187,0.376,0.188
02/01/2030 06:00,2,1,2030,6,8633.30524,2864.353622,722.1115766,187.7490099,0.087,0.481,0.0,0.358,0.061,0.427,0.269,0.439
02/01/2030 07:00,2,1,2030,7,10029.05862,3148.080038,793.8281373,206.3953157,0.053,0.645,0.0,0.575,0.087,0.591,0.202,0.607
02/01/2030 08:00,2,1,2030,8,10671.90111,3423.251889,863.0717132,224.3986454,0.072,0.736,0.001,0.706,0.135,0.669,0.249,0.701
