node,territory,scenario,technology,capacity_change
gaza_battery_storage,Gaza,BAS,Battery,0.0
gaza_battery_storage,Gaza,BAU,Battery,948.855009114638
gaza_battery_storage,Gaza,COO,Battery,0.0
gaza_battery_storage,Gaza,NCO,Battery,2028.5675769027098
gaza_diesel,Gaza,BAS,Diesel,-60.0
gaza_diesel,Gaza,BAU,Diesel,-60.0
gaza_diesel,Gaza,COO,Diesel,-60.0
gaza_diesel,Gaza,NCO,Diesel,-60.0
gaza_natural_gas,Gaza,BAS,Gas,330.4358123098116
gaza_natural_gas,Gaza,BAU,Gas,60.0
gaza_natural_gas,Gaza,COO,Gas,89.84823063270981
gaza_natural_gas,Gaza,NCO,Gas,231.20592150821884
gaza_solar,Gaza,BAS,Solar,0.0
gaza_solar,Gaza,BAU,Solar,1510.171271251957
gaza_solar,Gaza,COO,Solar,0.0
gaza_solar,Gaza,NCO,Solar,2535.709471128387
israel_battery_storage,Israel,BAS,Battery,312.5
israel_battery_storage,Israel,BAU,Battery,1800.2779620161136
israel_battery_storage,Israel,COO,Battery,312.5
israel_battery_storage,Israel,NCO,Battery,1638.3020022684018
israel_coal,Israel,BAS,Coal,-4800.0
israel_coal,Israel,BAU,Coal,-4800.0
israel_coal,Israel,COO,Coal,-4800.0
israel_coal,Israel,NCO,Coal,-4800.0
israel_diesel,Israel,BAS,Diesel,-700.0
israel_diesel,Israel,BAU,Diesel,-700.0
israel_diesel,Israel,COO,Diesel,-700.0
israel_diesel,Israel,NCO,Diesel,-700.0
israel_natural_gas,Israel,BAS,Gas,4342.921761021116
israel_natural_gas,Israel,BAU,Gas,3549.617185552839
israel_natural_gas,Israel,COO,Gas,5127.791146446563
israel_natural_gas,Israel,NCO,Gas,3457.2457524411675
israel_solar,Israel,BAS,Solar,0.0
israel_solar,Israel,BAU,Solar,14263.779620161135
israel_solar,Israel,COO,Solar,0.0
israel_solar,Israel,NCO,Solar,13031.47788014808
israel_wind,Israel,BAS,Wind,0.0
israel_wind,Israel,BAU,Wind,614.0
israel_wind,Israel,COO,Wind,0.0
israel_wind,Israel,NCO,Wind,226.54214253593636
jordan_battery_storage,Jordan,BAS,Battery,97.8
jordan_battery_storage,Jordan,BAU,Battery,419.0264757274857
jordan_battery_storage,Jordan,COO,Battery,1706.9639368211415
jordan_battery_storage,Jordan,NCO,Battery,423.5926742880721
jordan_coal,Jordan,BAS,Coal,0.0
jordan_coal,Jordan,BAU,Coal,0.0
jordan_coal,Jordan,COO,Coal,0.0
jordan_coal,Jordan,NCO,Coal,0.0
jordan_diesel,Jordan,BAS,Diesel,0.0
jordan_diesel,Jordan,BAU,Diesel,0.0
jordan_diesel,Jordan,COO,Diesel,0.0
jordan_diesel,Jordan,NCO,Diesel,0.0
jordan_natural_gas,Jordan,BAS,Gas,1467.55766292331
jordan_natural_gas,Jordan,BAU,Gas,513.5138152392778
jordan_natural_gas,Jordan,COO,Gas,0.0
jordan_natural_gas,Jordan,NCO,Gas,519.3238640011482
jordan_shale,Jordan,BAS,Shale,0.0
jordan_shale,Jordan,BAU,Shale,762.491130610259
jordan_shale,Jordan,COO,Shale,0.0
jordan_shale,Jordan,NCO,Shale,778.9731283628353
jordan_solar,Jordan,BAS,Solar,0.0
jordan_solar,Jordan,BAU,Solar,3133.097202499261
jordan_solar,Jordan,COO,Solar,14984.408181553612
jordan_solar,Jordan,NCO,Solar,3257.9267428807207
jordan_wind,Jordan,BAS,Wind,0.0
jordan_wind,Jordan,BAU,Wind,79.16755459184168
jordan_wind,Jordan,COO,Wind,1107.2311866578034
jordan_wind,Jordan,NCO,Wind,0.0
west_bank_battery_storage,West Bank,BAS,Battery,5.75
