scenario,season,variable,value
BAU,Jan-Apr,sox,1.007
BAU,Jan-Apr,sox,0.941
BAU,Jan-Apr,sox,0.787
BAU,Jan-Apr,sox,0.662
BAU,May-Sep,sox,0.867
BAU,May-Sep,sox,0.796
BAU,May-Sep,sox,0.95
BAU,May-Sep,sox,1.036
BAU,May-Sep,sox,1.037
BAU,Oct-Dec,sox,0.958
BAU,Oct-Dec,sox,0.816
BAU,Oct-Dec,sox,0.823
BAU,Jan-Apr,sox,0.971
BAU,Jan-Apr,sox,0.872
BAU,Jan-Apr,sox,0.768
BAU,Jan-Apr,sox,0.709
BAU,May-Sep,sox,0.96
BAU,May-Sep,sox,0.763
BAU,May-Sep,sox,0.976
BAU,May-Sep,sox,1.039
BAU,May-Sep,sox,1.111
BAU,Oct-Dec,sox,1.019
BAU,Oct-Dec,sox,0.789
BAU,Oct-Dec,sox,0.844
BAU,Jan-Apr,sox,0.946
BAU,Jan-Apr,sox,0.801
BAU,Jan-Apr,sox,0.699
BAU,Jan-Apr,sox,0.714
BAU,May-Sep,sox,0.939
BAU,May-Sep,sox,0.842
BAU,May-Sep,sox,1.0
BAU,May-Sep,sox,1.013
BAU,May-Sep,sox,1.099
BAU,Oct-Dec,sox,1.03
BAU,Oct-Dec,sox,0.751
BAU,Oct-Dec,sox,0.862
BAU,Jan-Apr,sox,0.981
BAU,Jan-Apr,sox,0.806
BAU,Jan-Apr,sox,0.754
BAU,Jan-Apr,sox,0.733
BAU,May-Sep,sox,0.919
BAU,May-Sep,sox,0.867
BAU,May-Sep,sox,1.018
BAU,May-Sep,sox,1.002
BAU,May-Sep,sox,1.142
BAU,Oct-Dec,sox,0.99
BAU,Oct-Dec,sox,0.795
BAU,Oct-Dec,sox,0.863
BAU,Jan-Apr,sox,1.036
BAU,Jan-Apr,sox,0.826
BAU,Jan-Apr,sox,0.856
BAU,Jan-Apr,sox,0.685
BAU,May-Sep,sox,0.809
BAU,May-Sep,sox,0.953
BAU,May-Sep,sox,1.064
BAU,May-Sep,sox,1.084
BAU,May-Sep,sox,1.101
BAU,Oct-Dec,sox,0.891
BAU,Oct-Dec,sox,0.798
BAU,Oct-Dec,sox,0.889
BAU,Jan-Apr,sox,0.845
BAU,Jan-Apr,sox,0.918
BAU,Jan-Apr,sox,0.768
BAU,Jan-Apr,sox,0.739
BAU,May-Sep,sox,0.87
BAU,May-Sep,sox,1.018
BAU,May-Sep,sox,1.015
BAU,May-Sep,sox,1.065
BAU,May-Sep,sox,1.034
BAU,Oct-Dec,sox,0.853
BAU,Oct-Dec,sox,0.836
BAU,Oct-Dec,sox,0.968
BAU,Jan-Apr,sox,0.922
BAU,Jan-Apr,sox,0.94
BAU,Jan-Apr,sox,0.753
BAU,Jan-Apr,sox,0.665
BAU,May-Sep,sox,0.801
BAU,May-Sep,sox,1.007
BAU,May-Sep,sox,0.978
BAU,May-Sep,sox,1.058
BAU,May-Sep,sox,0.918
BAU,Oct-Dec,sox,0.905
BAU,Oct-Dec,sox,0.825
BAU,Oct-Dec,sox,0.94
BAU,Jan-Apr,sox,0.918
BAU,Jan-Apr,sox,0.831
BAU,Jan-Apr,sox,0.743
BAU,Jan-Apr,sox,0.781
BAU,May-Sep,sox,0.75
BAU,May-Sep,sox,0.969
BAU,May-Sep,sox,1.068
BAU,May-Sep,sox,1.077
BAU,May-Sep,sox,0.89
BAU,Oct-Dec,sox,0.884
BAU,Oct-Dec,sox,0.829
BAU,Oct-Dec,sox,0.937
BAU,Jan-Apr,sox,0.963
BAU,Jan-Apr,sox,0.782
BAU,Jan-Apr,sox,0.733
BAU,Jan-Apr,sox,0.739
BAU,May-Sep,sox,0.74
BAU,May-Sep,sox,0.914
BAU,May-Sep,sox,1.067
BAU,May-Sep,sox,1.097
BAU,May-Sep,sox,0.89
BAU,Oct-Dec,sox,0.872
BAU,Oct-Dec,sox,0.781
BAU,Oct-Dec,sox,0.968
BAU,Jan-Apr,sox,1.014
BAU,Jan-Apr,sox,0.802
BAU,Jan-Apr,sox,0.717
BAU,Jan-Apr,sox,0.762
BAU,May-Sep,sox,0.8
BAU,May-Sep,sox,1.001
BAU,May-Sep,sox,1.067
BAU,May-Sep,sox,1.04
BAU,May-Sep,sox,0.862
BAU,Oct-Dec,sox,0.896
BAU,Oct-Dec,sox,0.763
BAU,Oct-Dec,sox,0.977
BAU,Jan-Apr,sox,0.894
BAU,Jan-Apr,sox,0.821
BAU,Jan-Apr,sox,0.804
BAU,Jan-Apr,sox,0.738
BAU,May-Sep,sox,0.76
BAU,May-Sep,sox,0.97
BAU,May-Sep,sox,1.061
BAU,May-Sep,sox,0.992
BAU,May-Sep,sox,0.892
BAU,Oct-Dec,sox,0.907
