technology,territory,self_sufficiency_factor,value,territory2
Battery,Gaza,10.0,0.008111055031438366,Palestine
Battery,Gaza,20.0,0.0194821921787449,Palestine
Battery,Gaza,30.0,0.025197601236473695,Palestine
Battery,Gaza,40.0,0.025259668336473695,Palestine
Battery,Gaza,50.0,0.025275159631263165,Palestine
Battery,Gaza,60.0,0.02525517228776806,Palestine
Battery,Gaza,70.0,0.02495913616020218,Palestine
Battery,Gaza,80.0,0.024647966820665158,Palestine
Battery,Gaza,90.0,0.024511399929188615,Palestine
Battery,Gaza,100.0,0.024407852360168476,Palestine
Battery,Israel,10.0,0.3125,Israel
Battery,Israel,20.0,0.3125,Israel
Battery,Israel,30.0,0.3125,Israel
Battery,Israel,40.0,0.3125,Israel
Battery,Israel,50.0,0.3125,Israel
Battery,Israel,60.0,0.3125,Israel
Battery,Israel,70.0,0.3125,Israel
Battery,Israel,80.0,0.3125,Israel
Battery,Israel,90.0,0.3125,Israel
Battery,Israel,100.0,0.3125,Israel
Battery,Jordan,10.0,1.6421756161590213,Jordan
Battery,Jordan,20.0,1.6290785722813266,Jordan
Battery,Jordan,30.0,1.6229376267639604,Jordan
Battery,Jordan,40.0,1.6232775529280838,Jordan
Battery,Jordan,50.0,1.6236755714478572,Jordan
Battery,Jordan,60.0,1.6241922051321869,Jordan
Battery,Jordan,70.0,1.6251602150765876,Jordan
Battery,Jordan,80.0,1.626358471827921,Jordan
Battery,Jordan,90.0,1.6137282070064045,Jordan
Battery,Jordan,100.0,1.5327697997415644,Jordan
Battery,West Bank,10.0,0.00575,Palestine
Battery,West Bank,20.0,0.00575,Palestine
Battery,West Bank,30.0,0.00575,Palestine
Battery,West Bank,40.0,0.00575,Palestine
Battery,West Bank,50.0,0.00575,Palestine
Battery,West Bank,60.0,0.00575,Palestine
Battery,West Bank,70.0,0.00575,Palestine
Battery,West Bank,80.0,0.00575,Palestine
Battery,West Bank,90.0,0.021386317521243654,Palestine
Battery,West Bank,100.0,0.12480698847653549,Palestine
Gas,Gaza,10.0,0.06,Palestine
Gas,Gaza,20.0,0.06,Palestine
Gas,Gaza,30.0,0.06,Palestine
Gas,Gaza,40.0,0.06,Palestine
Gas,Gaza,50.0,0.06,Palestine
Gas,Gaza,60.0,0.07016897398623316,Palestine
Gas,Gaza,70.0,0.09872755811872508,Palestine
Gas,Gaza,80.0,0.1287460421317704,Palestine
Gas,Gaza,90.0,0.1630016303366761,Palestine
Gas,Gaza,100.0,0.27573803014593673,Palestine
Gas,Israel,10.0,16.616960376368684,Israel
Gas,Israel,20.0,16.528684971941008,Israel
Gas,Israel,30.0,16.438955059531633,Israel
Gas,Israel,40.0,16.347909603769526,Israel
Gas,Israel,50.0,16.256568319279452,Israel
Gas,Israel,60.0,16.154267223040275,Israel
Gas,Israel,70.0,16.027975180783834,Israel
Gas,Israel,80.0,15.872959245049788,Israel
Gas,Israel,90.0,15.5916070836802,Israel
Gas,Israel,100.0,15.461230091631753,Israel
Gas,Jordan,10.0,2.823,Jordan
Gas,Jordan,20.0,2.823,Jordan
Gas,Jordan,30.0,2.823,Jordan
Gas,Jordan,40.0,2.823,Jordan
Gas,Jordan,50.0,2.823,Jordan
Gas,Jordan,60.0,2.823,Jordan
Gas,Jordan,70.0,2.823,Jordan
Gas,Jordan,80.0,2.823,Jordan
