scenario,territory,total
COO,Gaza,0.05193022866816803
BAS,Gaza,0.19817122197778184
COO,West Bank,0.23258209982019604
EAG,West Bank,0.5046271
BAS,West Bank,0.5361102870291443
BAS,Jordan,0.9794098663854734
BAU,Gaza,1.27090031868185
BAU,Jordan,2.112999078195372
NCO,Jordan,2.1685809410752115
EAG,Gaza,2.6261476564159425
NCO,Gaza,2.626831876047928
EAG,Jordan,3.885797572937681
BAU,West Bank,4.5621499412357975
BAS,Israel,5.469621018697723
COO,Israel,5.607063036457018
COO,Jordan,6.616575418642374
NCO,West Bank,8.996104135114102
NCO,Israel,9.178383122369992
EAG,Israel,9.178383122381808
BAU,Israel,9.915015451022978
BAS,Total,7.183312394090123
BAU,Total,17.861064789135995
COO,Total,12.508150783587755
EAG,Total,16.19495545173543
NCO,Total,22.96990007460723
