territory,technology,self_sufficiency_factor,value
Gaza,Battery,10.0,0.0
Gaza,Battery,20.0,0.0
Gaza,Battery,30.0,0.0
Gaza,Battery,40.0,0.0
Gaza,Battery,50.0,0.0
Gaza,Battery,60.0,0.0
Gaza,Battery,70.0,0.0
Gaza,Battery,80.0,0.0
Gaza,Battery,90.0,0.0
Gaza,Battery,100.0,87.41954196148967
Gaza,Diesel,10.0,0.0
Gaza,Diesel,20.0,0.0
Gaza,Diesel,30.0,0.0
Gaza,Diesel,40.0,0.0
Gaza,Diesel,50.0,0.0
Gaza,Diesel,60.0,0.0
Gaza,Diesel,70.0,0.0
Gaza,Diesel,80.0,0.0
Gaza,Diesel,90.0,0.0
Gaza,Diesel,100.0,0.0
Gaza,Gas,10.0,60.0
Gaza,Gas,20.0,90.03026423937101
Gaza,Gas,30.0,135.11796060207942
Gaza,Gas,40.0,180.4199215444849
Gaza,Gas,50.0,225.82417771406662
Gaza,Gas,60.0,271.24849204593284
Gaza,Gas,70.0,319.6023329944088
Gaza,Gas,80.0,374.88664420675144
Gaza,Gas,90.0,452.87334492277427
Gaza,Gas,100.0,543.6417718002458
Gaza,Solar,10.0,0.0
Gaza,Solar,20.0,0.0
Gaza,Solar,30.0,0.0
Gaza,Solar,40.0,0.0
Gaza,Solar,50.0,0.0
Gaza,Solar,60.0,0.0
Gaza,Solar,70.0,0.0
Gaza,Solar,80.0,0.0
Gaza,Solar,90.0,0.0
Gaza,Solar,100.0,437.0977098074483
Israel,Battery,10.0,625.0
Israel,Battery,20.0,625.0
Israel,Battery,30.0,625.0
Israel,Battery,40.0,625.0
Israel,Battery,50.0,625.0
Israel,Battery,60.0,625.0
Israel,Battery,70.0,625.0
Israel,Battery,80.0,625.0
Israel,Battery,90.0,625.0
Israel,Battery,100.0,625.0
Israel,Coal,10.0,0.0
Israel,Coal,20.0,0.0
Israel,Coal,30.0,0.0
Israel,Coal,40.0,0.0
Israel,Coal,50.0,0.0
Israel,Coal,60.0,0.0
Israel,Coal,70.0,0.0
Israel,Coal,80.0,0.0
Israel,Coal,90.0,0.0
Israel,Coal,100.0,0.0
Israel,Diesel,10.0,0.0
Israel,Diesel,20.0,0.0
Israel,Diesel,30.0,0.0
Israel,Diesel,40.0,0.0
Israel,Diesel,50.0,0.0
Israel,Diesel,60.0,0.0
Israel,Diesel,70.0,0.0
Israel,Diesel,80.0,0.0
